Марка;Описание;Цена;Город;Ссылка;Тип топлива
Mercedes-Benz G-Class 2020;STT 400d AT (340 л.с.) 4Matic;200 000 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1836853.html;Дизтопливо
Mercedes-Benz GLE-Class 2019;300d AT (245 л.с.) 4Matic;61 009 $;Одесса;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1834114.html;Дизтопливо
Mercedes-Benz GLS-Class 2020;Individual 400d AT (330 л.с.) 4Matic;113 555 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-gls-class-1818064.html;Дизтопливо
Mercedes-Benz C-Class 2018;base Mercedes-AMG C63 AT (476 л.с.);70 300 $;Одесса;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1834136.html;Бензин
Mercedes-Benz G-Class 2019;Mercedes-AMG G63 G-Ttonic (585 л.с.) 4Matic;245 889 $;Одесса;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1832227.html;Бензин
Mercedes-Benz GLA-Class 2019;GLA 200 AT (156 л.с.);38 424 $;Одесса;https://auto.ria.com/newauto/auto-mercedes-benz-gla-class-1833204.html;Бензин
Mercedes-Benz G-Class 2020;Individual 400d AT (330 л.с.) 4Matic;196 603 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1832567.html;Дизтопливо
Mercedes-Benz GLS-Class 2020;Individual 580 AT (489 л.с.) 4Matic;151 408 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-gls-class-1838347.html;Бензин
Mercedes-Benz GLE-Class 2019;450 AT (367 л.с.) 4Matic;84 897 $;Одесса;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1832772.html;Бензин
Mercedes-Benz GLE-Class 2020;300d AT (245 л.с.) 4Matic;68 001 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1838560.html;Дизтопливо
Mercedes-Benz GLS-Class 2019;base 350d AT (286 л.с.) 4Matic;108 495 $;Одесса;https://auto.ria.com/newauto/auto-mercedes-benz-gls-class-1833389.html;Дизтопливо
Mercedes-Benz C-Class 2019;base Mercedes-AMG C63 AT (476 л.с.);75 716 $;Одесса;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1834149.html;Бензин
Mercedes-Benz GLS-Class 2020;base 350d AT (286 л.с.) 4Matic;96 406 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-gls-class-1836841.html;Дизтопливо
Mercedes-Benz G-Class 2020;STT 400d AT (340 л.с.) 4Matic;199 999 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1819162.html;Дизтопливо
Mercedes-Benz GLS-Class 2020;base 400d AT (330 л.с.) 4Matic;107 237 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-gls-class-1815966.html;Дизтопливо
