Марка;Описание;Цена;Город;Ссылка;Тип топлива
Mercedes-Benz GLE-Class 2019;Individual 450 AT (367 л.с.) 4Matic;84 255 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1832253.html;Бензин
Mercedes-Benz G-Class 2020;STT 400d AT (340 л.с.) 4Matic;200 000 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1836853.html;Дизтопливо
Mercedes-Benz GLE-Class 2019;300d AT (245 л.с.) 4Matic;61 006 $;Одесса;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1834114.html;Дизтопливо
Mercedes-Benz C-Class 2018;base Mercedes-AMG C63 AT (476 л.с.);70 298 $;Одесса;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1834136.html;Бензин
Mercedes-Benz GLS-Class 2020;Individual 400d AT (330 л.с.) 4Matic;113 555 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-gls-class-1818064.html;Дизтопливо
Mercedes-Benz C-Class 2019;base Mercedes-AMG C63 AT (476 л.с.);76 470 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1833922.html;Бензин
Mercedes-Benz G-Class 2019;Mercedes-AMG G63 G-Ttonic (585 л.с.) 4Matic;245 880 $;Одесса;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1832227.html;Бензин
Mercedes-Benz GLA-Class 2019;GLA 200 AT (156 л.с.);38 422 $;Одесса;https://auto.ria.com/newauto/auto-mercedes-benz-gla-class-1833204.html;Бензин
Mercedes-Benz G-Class 2020;Individual 400d AT (330 л.с.) 4Matic;196 595 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1832567.html;Дизтопливо
Mercedes-Benz CLA-Class 2019;base 220 AT (190 л.с.);49 064 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-cla-class-1836972.html;Бензин
Mercedes-Benz GLS-Class 2020;Individual 580 AT (489 л.с.) 4Matic;151 402 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-gls-class-1838347.html;Бензин
Mercedes-Benz E-Class 2019;AMG E 53 G-tronic (435 л.с.) 4Matic+;100 811 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1833927.html;Бензин
Mercedes-Benz GLS-Class 2019;Individual 350d AT (286 л.с.) 4Matic;93 548 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-gls-class-1822271.html;Дизтопливо
Mercedes-Benz GLE-Class 2019;450 AT (367 л.с.) 4Matic;84 893 $;Одесса;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1832772.html;Бензин
Mercedes-Benz GLE-Class 2019;300d AT (245 л.с.) 4Matic;69 778 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1817750.html;Дизтопливо
Mercedes-Benz GLS-Class 2019;base 350d AT (286 л.с.) 4Matic;108 491 $;Одесса;https://auto.ria.com/newauto/auto-mercedes-benz-gls-class-1833389.html;Дизтопливо
Mercedes-Benz GLE-Class 2019;300d AT (245 л.с.) 4Matic;63 936 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1799065.html;Дизтопливо
Mercedes-Benz GLB-Class 2020;Individual 200d AT (150 л.с.);50 709 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-glb-class-1838447.html;Дизтопливо
Mercedes-Benz GLS-Class 2019;Individual 350d AT (286 л.с.) 4Matic;95 476 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-gls-class-1823999.html;Дизтопливо
Mercedes-Benz C-Class 2019;base Mercedes-AMG C63 AT (476 л.с.);75 714 $;Одесса;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1834149.html;Бензин
Mercedes-Benz G-Class 2020;STT 400d AT (340 л.с.) 4Matic;199 999 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1819162.html;Дизтопливо
Mercedes-Benz GLS-Class 2020;base 400d AT (330 л.с.) 4Matic;107 233 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-gls-class-1815966.html;Дизтопливо
Mercedes-Benz GLE-Class 2020;300d AT (245 л.с.) 4Matic;67 998 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1838560.html;Дизтопливо
Mercedes-Benz EQC 2020;base 400 AT (408 л.с.) 80 kWh 4Matic;108 316 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-eqc-1822110.html;Электричество
Mercedes-Benz GLC-Class 2020;base Mercedes-AMG 63S AT (510 л.с.) 4Matic+;102 901 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-glc-class-1836155.html;Бензин
Mercedes-Benz G-Class 2020;500 AT (422 л.с.) 4Matic;194 970 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1816946.html;Бензин
Mercedes-Benz GLE-Class 2019;300d AT (245 л.с.) 4Matic;63 041 $;Львов;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1817280.html;Дизтопливо
Mercedes-Benz GLA-Class 2019;GLA 180 AT (122 л.с.);40 085 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-gla-class-1803584.html;Бензин
Mercedes-Benz GLE-Class 2019;300d AT (245 л.с.) 4Matic;70 346 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1817747.html;Дизтопливо
Mercedes-Benz GLS-Class 2020;base 350d AT (286 л.с.) 4Matic;96 402 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-gls-class-1836841.html;Дизтопливо
Mercedes-Benz GLE-Class 2019;450 AT (367 л.с.) 4Matic;81 834 $;Львов;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1817281.html;Бензин
Mercedes-Benz GLC-Class 2020;base 220d AT (194 л.с.) 4Matic;58 229 $;Одесса;https://auto.ria.com/newauto/auto-mercedes-benz-glc-class-1838203.html;Дизтопливо
Mercedes-Benz EQC 2020;base 400 AT (408 л.с.) 80 kWh 4Matic;108 316 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-eqc-1814423.html;Электричество
Mercedes-Benz GLS-Class 2020;base 580 AT (489 л.с.) 4Matic;157 064 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-gls-class-1833102.html;Бензин
Mercedes-Benz GLE-Class 2019;400d AT (330 л.с.) 4Matic;81 888 $;Львов;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1817279.html;Дизтопливо
Mercedes-Benz G-Class 2020;Mercedes-AMG G63 G-Ttonic (585 л.с.) 4Matic;249 128 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1819481.html;Бензин
Mercedes-Benz EQC 2020;base 400 AT (408 л.с.) 80 kWh 4Matic;100 193 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-eqc-1838634.html;Электричество
Mercedes-Benz G-Class 2020;500 AT (422 л.с.) 4Matic;178 723 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1836160.html;Бензин
Mercedes-Benz G-Class 2020;Individual Mercedes-AMG G63 G-Ttonic (585 л.с.) 4Matic;243 713 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1738633.html;Бензин
Mercedes-Benz GLA-Class 2019;GLA 180 AT (122 л.с.);36 373 $;Львов;https://auto.ria.com/newauto/auto-mercedes-benz-gla-class-1817275.html;Бензин
Mercedes-Benz GLS-Class 2019;base 400d AT (330 л.с.) 4Matic;102 360 $;Львов;https://auto.ria.com/newauto/auto-mercedes-benz-gls-class-1820481.html;Дизтопливо
Mercedes-Benz G-Class 2020;700 Brabus G-Ttonic (700 л.с.) 4Matic;373 694 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1837571.html;Бензин
Mercedes-Benz GLS-Class 2019;base 400d AT (330 л.с.) 4Matic;106 151 $;Львов;https://auto.ria.com/newauto/auto-mercedes-benz-gls-class-1817282.html;Дизтопливо
